Gini Index,Vacant Housing,Percent Unemployed,Median Family Income,Income Quartile,HighIncome
0.4269,3010,4.514921264177954,69753.0,3.0,1
0.4806,1226,7.3509933774834435,32563.0,1.0,0
0.4518,7797,8.948634193617861,58082.0,2.0,0
0.4742,1205,8.557993730407523,47701.0,1.0,0
0.4643,1222,6.385169927909372,50147.0,1.0,0
0.5193,1989,17.932922655715263,36667.0,1.0,0
0.4846,1656,5.959581059153267,45026.0,1.0,0
0.4783,4208,6.416932639005543,53010.0,1.0,0
0.5575,1553,6.202749140893471,41221.0,1.0,0
0.4685,2534,6.4083360468902635,54310.0,2.0,0
0.4388,592,4.250151791135397,78482.0,4.0,1
0.4305,533,28.907048008171603,35354.0,1.0,0
0.4666,198390,5.5182801071986685,73240.0,4.0,1
0.4049,2634,9.381617958492164,61351.0,2.0,0
0.4933,2825,8.325353761038407,45074.0,1.0,0
0.4663,7362,7.996585088218554,44701.0,1.0,0
0.4451,28391,8.892810557814776,52427.0,1.0,0
0.4654,18162,7.517433751743376,72655.0,4.0,1
0.4462,19206,6.734797933893458,60692.0,2.0,0
0.3908,1210,6.888128969223254,63609.0,3.0,1
0.4235,34082,7.8397586445833,63833.0,3.0,1
0.414,1284,5.573868744381181,44911.0,1.0,0
0.4752,1269,5.743666917481816,55084.0,2.0,0
0.4104,1273,4.909560723514212,46614.0,1.0,0
0.4974,2674,10.195371775417298,49523.0,1.0,0
0.3983,4655,3.9030542677938365,74463.0,4.0,1
0.445,3584,7.1802420673863265,46470.0,1.0,0
0.4257,2225,9.278752436647174,50777.0,1.0,0
0.45,2197,4.8531211750306,53056.0,1.0,0
0.4486,1716,8.755230125523013,45793.0,1.0,0
0.4394,1201,7.084301969900893,61228.0,2.0,0
0.448,1263,3.048955052963069,49627.0,1.0,0
0.4352,1323,4.534005037783375,49913.0,1.0,0
0.4695,6390,9.980991878348021,50008.0,1.0,0
0.4524,2073,5.659293306521115,47992.0,1.0,0
0.4325,1402,10.319351763584365,43312.0,1.0,0
0.4781,5921,4.855342548177366,53146.0,1.0,0
0.4456,3037,5.0637536078331085,53378.0,1.0,0
0.5579,1126,9.702620967741936,40245.0,1.0,0
0.4427,1663,4.081821547574973,43207.0,1.0,0
0.4992,1012,15.269086357947433,43966.0,1.0,0
0.4569,25618,6.474118914482122,63766.0,3.0,1
0.389,6096,5.658539919017272,71849.0,4.0,1
0.4543,1306,8.674665563370569,43102.0,1.0,0
0.3961,1187,4.465648854961832,65309.0,3.0,1
0.4275,800,2.0163735597331716,74871.0,4.0,1
0.3945,263,1.329243353783231,58438.0,2.0,0
0.4791,967,11.967361740707162,56765.0,2.0,0
0.5684,234,0.5300353356890459,63051.0,3.0,1
0.3919,710,2.4194840570421405,80014.0,4.0,1
0.4844,478,0.8636363636363636,63242.0,3.0,1
0.4329,256,1.5730337078651686,70500.0,3.0,1
0.4585,450,3.2448377581120944,58750.0,2.0,0
0.4577,1337,3.040719196192491,55385.0,2.0,0
0.4,341,0.25477707006369427,59450.0,2.0,0
0.4289,1033,7.898481973434535,70706.0,3.0,1
0.4189,453,1.4794082367053178,75557.0,4.0,1
0.432,320,6.149545772187281,68953.0,3.0,1
0.4175,579,6.864864864864866,60690.0,2.0,0
0.3731,107,0.0,54732.0,2.0,0
0.405,216,4.82051282051282,58850.0,2.0,0
0.3482,77,0.0,74375.0,4.0,1
0.4002,476,1.0626185958254268,65714.0,3.0,1
0.4607,1163,3.3048329391789464,68851.0,3.0,1
0.4191,365,1.683270353830299,68558.0,3.0,1
0.436,255,0.3973509933774834,65250.0,3.0,1
0.3968,586,1.7902813299232736,68594.0,3.0,1
0.3737,388,3.252977054893988,70709.0,3.0,1
0.4128,420,2.91005291005291,82697.0,4.0,1
0.5106,54024,7.73648634222786,63343.0,3.0,1
0.4365,2292,7.793901842491439,54012.0,2.0,0
0.4559,4157,5.870511872483773,56518.0,2.0,0
0.3972,1029,5.574136008918618,59862.0,2.0,0
0.4667,2186,5.965639298972633,53167.0,1.0,0
0.4844,27946,4.616210139002453,68677.0,3.0,1
0.6254,1330,8.344283837056505,46637.0,1.0,0
0.4384,1037,9.385113268608414,53686.0,2.0,0
0.4846,1321,7.161932507890264,52692.0,1.0,0
0.4204,9437,7.063179765760119,64790.0,3.0,1
0.4792,1613,8.520869397961146,43248.0,1.0,0
0.4847,3402,10.025756600128782,42667.0,1.0,0
0.5013,2058,5.120229692546956,53074.0,1.0,0
0.4234,757,3.7405026300409117,47358.0,1.0,0
0.4669,1904,6.340925789860396,51219.0,1.0,0
0.4439,2409,7.713657133186665,67512.0,3.0,1
0.4912,1688,7.701195909642383,53051.0,1.0,0
0.4826,16642,5.543409934191129,71628.0,4.0,1
0.457,1631,8.130190195553174,49846.0,1.0,0
0.4454,1861,7.9401295975175685,48304.0,1.0,0
0.477,8669,6.2096006591751784,56735.0,2.0,0
0.4227,4947,5.7997399219765935,67979.0,3.0,1
0.4228,6613,6.069252718439114,60973.0,2.0,0
0.4317,8289,5.106607310215558,83505.0,4.0,1
0.4492,6562,7.076512782784623,63530.0,3.0,1
0.4515,76482,6.168127114069137,73004.0,4.0,1
0.4166,5452,5.712680896054979,65182.0,3.0,1
0.5971,116104,5.707540327412549,102900.0,4.0,1
0.4267,5696,5.402742851217172,69112.0,3.0,1
0.4608,5906,5.476756109522384,106787.0,4.0,1
0.4411,12090,5.30107789838033,71366.0,3.0,1
0.4302,10758,5.836872481759774,69266.0,3.0,1
0.457,26318,4.272152784385722,129807.0,4.0,1
0.4014,2432,5.5349308133648325,68400.0,3.0,1
0.4279,4832,5.712686727797149,61186.0,2.0,0
0.4181,16534,6.4635446053538965,61483.0,2.0,0
0.4423,87181,4.7347784650219715,113432.0,4.0,1
0.4015,2341,5.867437496830468,69951.0,3.0,1
0.4335,8377,7.853837120950473,64563.0,3.0,1
0.4189,5133,5.875902992776058,67777.0,3.0,1
0.4591,12236,6.59581989780068,67342.0,3.0,1
0.4668,39300,4.787658048048303,75121.0,4.0,1
